Description,location,Carpet_Area_sqft,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car_Parking,Ownership,Price__in_rupees_
"Bhatagaon, Raipur has an attractive 2 BHK Flat for sale. Situated in the excellent Dhebar City Homes township. The flat enjoys a prime location. Your search ends here, because this flat for sale is among the best bargains in town. The ready to move flat in the prime area of Bhatagaon is available at a reasonable price of INR 25 Lac. Available in furnished state, this flat is a great buy.",raipur,2000,Ready to Move,4,New Property,Furnished,East,"Pool, Garden/Park",Dhebar City Homes,2,2,0,Freehold,"1250"
"This ready to move-in 3 BHK flat is available for sale at the premium Alwar Bypass Road in Bhiwadi. It is in a prime location within the Mvl Coral. This is one of the best properties available for resale. This ready to move flat in Alwar Bypass Road is available for a reasonable price of INR 38 Lac. Available in furnished state, this flat is a great buy. Some neighbouring landmarks are the property is close to school and hospital and mall and all banks..",bhiwadi,1875,Ready to Move,5,Resale,Furnished,East,"Garden/Park, Pool, Main Road",MVL Coral,3,3,1,Freehold,"1974"
"Maya Garden, Chandigarh has an attractive 3 BHK Flat for sale. Take the experience of contemporary living to a new high, with exquisitely designed apartments at Maya Garden City. This flat for resale is just the type of property you have been searching for! This ready to move flat located in Maya Garden is available for purchase at a fair price of INR 68 Lac. This flat is an ideal choice because it is an furnished apartment with all basic amenities. This 3 BHK flat boasts of being in close proximity to significant landmarks like main ambala chandigarh highway. that enhance the overall living experience.",chandigarh,2200,Ready to Move,9,Resale,Furnished,North - East,"Garden/Park, Pool, Main Road",Maya Garden City,3,2,1,Freehold,"2222"
"This attractive 4 BHK apartment can be found for sale in Akota, Vadodara. Situated in the Anandban Flat township, it has a prime location. This flat for resale is a choice property. This ready to move property in Akota is readily available within an affordable cost of INR 1 Cr. This immaculate flat boasts of coming in furnished form which takes the entire deal to the next level. Some of the landmarks in the vicinity include jain derasar, akota stadium, op road, manisha cross-roads, patanjali.",vadodara,2700,Ready to Move,3,Resale,Furnished,East,Garden/Park,Anandban Flat,4,3,0,Co-operative Society,"2381"
"Discover this immaculate 4 BHK flat for sale at the pristine TDI City Kundli in Sonipat. Situated in the Kingsbury Apartments township, it has a prime location. Your search ends here, because this flat for resale is among the best bargains in town. This ready to move flat in TDI City Kundli can be taken at a very economical pricing of INR 53 Lac. The flat is furnished and makes for an ideal choice for any family. The property is strategically placed near prominent places as this park facing property is situated at walking distance from highway which make for the smooth living of residents.",sonipat,1935,Ready to Move,4,Resale,Furnished,South,"Garden/Park, Main Road",Kingsbury Apartments,4,4,1,Freehold,"2420"
"Ambala Highway, Zirakpur has an attractive 3 BHK Flat for sale. This flat is situated in the Maya Garden City township and is equipped with premium facilities. This apartment for resale is a great choice. Located in Ambala Highway, this ready to move apartment is sold at a fair selling price of INR 77 Lac. The flat is available in furnished condition.",zirakpur,2600,Ready to Move,9,Resale,Furnished,East,"Pool, Garden/Park, Main Road",Maya Garden City,3,4,0,Freehold,"2516"
"Sahastradhara Road, Dehradun has an attractive 4 BHK Flat for sale. This flat is situated within the renown township of Friends Enclave Near Shastradhara It Park. This premium flat is available for sale at an unbelievable price, so, grab it before it's gone! This ready to move property in Sahastradhara Road is readily available within an affordable cost of INR 1.90 Cr. This contemporary apartment is furnished. The property is constructed with proximity to major landmarks like canal road , rajpur road ,helipad ,it park.",dehradun,5000,Ready to Move,8,New Property,Furnished,North - East,"Garden/Park, Main Road",Friends enclave near Shastradhara IT park,4,2,0,Freehold,"2941"
"Creatively planned and constructed is a 4 BHK flat for sale in Kundli, Sonipat. This flat is situated in the Ansal Sunshine County township and is equipped with premium facilities. This flat for resale has a desirable location. This apartment in one of the significant areas of Kundli is ready to move, and can be purchased at the best price of INR 65 Lac. The flat is furnished and makes for an ideal choice for any family. Some nearby landmarks are ansal sushant city..",sonipat,1995,Ready to Move,4,Resale,Furnished,East,"Garden/Park, Pool, Main Road",Ansal Sunshine County,4,4,1,Freehold,"2961"
"Have a look at this immaculate 4 BHK flat for sale in Kundli, Sonipat. Enjoying a prime location, this property is housed in the Kingsbury Apartments society. Invest your valuable money in this flat that is for resale. This ready to move flat located in Kundli is available for purchase at a fair price of INR 66.3 Lac. This flat is an ideal choice because it is an furnished apartment with all basic amenities. nh 1 and commercial mall are some major landmarks near the apartment.",sonipat,1930,Ready to Move,9,Resale,Furnished,North,Garden/Park,Kingsbury Apartments,4,5,0,Freehold,"3070"
"Creatively planned and constructed is a 4 BHK flat for sale in Zirakpur, Chandigarh. Located in the Maya Garden City township, the flat enjoys access to the prime spots in the city. This is a desirable apartment for resale. In Zirakpur, this ready to move flat is available at an attractive price of INR 1.50 Cr. The spacious apartment is furnished.",chandigarh,4820,Ready to Move,2,Resale,Furnished,North - East,"Pool, Garden/Park, Main Road",Maya Garden City,4,5,0,Freehold,"3099"
"This magnificent 3 BHK Flat is available for sale in Alkapuri, Vadodara. It enjoys an excellent location within the Florence Exotica. This flat for resale is a choice property. Located in Alkapuri, this ready to move apartment is sold at a fair selling price of INR 81 Lac. The spacious apartment is furnished. The prime landmarks near this property are railway station is just walking distance.bus depot is less than 2km..",vadodara,1800,Ready to Move,3,Resale,Furnished,East,Main Road,Florence Exotica,3,3,1,Freehold,"3240"
"Creatively planned and constructed is a 4 BHK flat for sale in Mohba Bazar, Raipur. It is in a prime location within the Singapore City Raipur. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat located in Mohba Bazar is available for purchase at a fair price of INR 70 Lac. The flat is available in furnished condition.",raipur,1900,Ready to Move,4,Resale,Furnished,East,"Garden/Park, Main Road",Singapore City Raipur,4,2,1,Freehold,"3333"
"This beautiful 4 BHK Flat is available for sale in Sector 35, Sonipat. Located in the Tulip Grand township, the flat enjoys access to the prime spots in the city. This apartment for resale is a great choice. This ready to move property in Sector 35 is readily available within an affordable cost of INR 70 Lac. This furnished flat is strategically designed with all the amenities to enhance the living experience. Some of the landmarks in the vicinity include op jindal university.",sonipat,2046,Ready to Move,2,Resale,Furnished,East,Main Road,Tulip Grand,4,3,0,Freehold,"3421"
"This exquisite 3 BHK Flat is offered for sale in Shela, Ahmedabad. Situated in the excellent Applewoods Silene township. The flat enjoys a prime location. This flat for resale is just the type of property you have been searching for! In Shela, this ready to move flat is available at an attractive price of INR 95 Lac. Available in furnished state, this flat is a great buy.",ahmedabad,2750,Ready to Move,2,Resale,Furnished,West,Garden/Park,Applewoods Silene,3,1,0,Freehold,"3455"
"This magnificent 3 BHK Flat is available for sale in Vikas Nagar, Ranchi. Enjoying a prime location, this property is housed in the Vishwanath Apartment society. Your hunt for the perfect apartment for resale comes to an end here. This ready to move property in Vikas Nagar is readily available within an affordable cost of INR 95 Lac. This premium furnished flat spells quality and comfort at a competitive price.",ranchi,2300,Ready to Move,1,Resale,Furnished,East,Garden/Park,Vishwanath Apartment,3,3,1,Freehold,"3585"
"This exquisite 3 BHK Flat is offered for sale in Bopal, Ahmedabad. Situated in the Maharsh Harsh Evoq township, it has a prime location. Invest your valuable money in this flat that is for sale. The ready to move flat in Bopal is all ready for sale at a low-priced budget of INR 1.15 Cr. This flat is an ideal choice because it is an furnished apartment with all basic amenities. behind marigold are some of the well-known landmarks in this locality.",ahmedabad,1840,Ready to Move,2,New Property,Furnished,East,"Garden/Park, Main Road",Maharsh Harsh Evoq,3,2,1,Freehold,"3872"
"This attractive 4 BHK apartment can be found for sale in Althan, Surat. Situated in the Aagam Heights township, it has a prime location. This flat all equipped with required facilities, is up for resale. This ready to move flat is offered at an economical price of INR 1.30 Cr. This premium furnished flat spells quality and comfort at a competitive price. This 4 BHK flat boasts of being in close proximity to significant landmarks like mahila iti college. that enhance the overall living experience.",surat,1992,Ready to Move,1,Resale,Furnished,East,"Pool, Garden/Park",Aagam Heights,4,2,0,Co-operative Society,"3881"
"4 BHK flat available for sale in Surat in the prime location of Jahangir Pura. Ideally situated in the Vaishnodevi Blue Bells township it enjoys a prime location. Your search ends here, because this flat for resale is among the best bargains in town. This apartment in one of the significant areas of Jahangir Pura is ready to move, and can be purchased at the best price of INR 90 Lac. It is a furnished apartment. Some nearby landmarks are d mart.",surat,1800,Ready to Move,10,Resale,Furnished,North,"Garden/Park, Main Road",Vaishnodevi Blue Bells,4,2,0,Leasehold,"3922"
"This gorgeous 4 BHK Flat is available for sale in Kundli, Sonipat. Well-tucked in the Express Royal 2 township, the property is easily accessible. This apartment is a property of choice for resale. This ready to move flat in Kundli can be availed at a reasonable price of INR 85 Lac. The flat is sold in furnished condition. The flat is in close proximity to prominent landmarks like opposite jindal global university.",sonipat,2000,Ready to Move,2,Resale,Furnished,East,Main Road,Express Royal 2,3,4,0,Freehold,"3953"
3 BHK flat available for sale in Surat in the prime location of Ghod Dod Road. This flat is situated in the Kakadia Complex township and is equipped with premium facilities. This is one of the best properties available for resale. The ready to move flat in the prime area of Ghod Dod Road is available at a reasonable price of INR 70 Lac. The spacious apartment is furnished. The flat is easily approachable because it is near to ghod dod road.,surat,1750,Ready to Move,5,Resale,Furnished,North - West,Main Road,Kakadia Complex,3,2,0,Co-operative Society,"4000"
"Omicron, Greater Noida has an appealing 4 BHK flat for sale with various amenities. The property is ideally located in a strategic location in Uppal Plumeria Garden Estate township. This flat for resale has a desirable location. Located in Omicron, this ready to move apartment is sold at a fair selling price of INR 95 Lac. The flat is available in furnished condition. The property is constructed with proximity to major landmarks like metro station.",greater-noida,2259,Ready to Move,7,Resale,Furnished,North - East,"Pool, Garden/Park, Main Road",Uppal Plumeria Garden Estate,4,4,0,Leasehold,"4043"
"This lovely 4 BHK Flat in Vasna Bhayli Main Road, Vadodara is up for sale. Situated in the excellent Vicenza Meridian township. The flat enjoys a prime location. This is a desirable apartment for resale. The ready to move flat in the prime area of Vasna Bhayli Main Road is available at a reasonable price of INR 1.65 Cr. Available in furnished state, this flat is a great buy. Prominent landmarks in and around this locality are nilamber circle.",vadodara,3400,Ready to Move,6,Resale,Furnished,East,"Garden/Park, Main Road",Vicenza Meridian,5,4,1,Freehold,"4125"
"Have a look at this immaculate 4 BHK flat for sale in Alwar Bypass Road, Bhiwadi. It is in a prime location within the Krish Vatika. This apartment for resale is a great choice. This ready to move property in Alwar Bypass Road is readily available within an affordable cost of INR 1.20 Cr. You will find it furnished.",bhiwadi,2100,Ready to Move,2,Resale,Furnished,East,"Garden/Park, Main Road",Krish Vatika,5,3,0,Freehold,"4225"
